iter	Passed	Remaining
0	1	1321
1	2	1131
2	3	1033
3	3	995
4	4	972
5	5	923
6	6	909
7	7	917
8	8	920
9	9	897
10	9	875
11	10	859
12	11	842
13	11	829
14	12	828
15	13	848
16	14	843
17	15	843
18	16	834
19	16	828
20	17	822
21	18	816
22	19	813
23	20	828
24	21	828
25	21	822
26	22	816
27	23	810
28	24	810
29	24	807
30	26	814
31	27	827
32	28	825
33	28	822
34	29	819
35	30	817
36	31	819
37	32	822
38	33	821
39	34	818
40	34	814
41	35	810
42	36	808
43	36	803
44	38	806
45	38	808
46	40	817
47	41	819
48	42	815
49	42	812
50	43	809
51	44	811
52	45	812
53	46	810
54	46	807
55	47	804
56	48	800
57	49	797
58	49	794
59	50	792
60	51	794
61	52	793
62	53	791
63	53	789
64	54	786
65	55	784
66	56	785
67	57	787
68	58	786
69	59	787
70	59	784
71	60	781
72	61	777
73	61	773
74	62	772
75	63	772
76	64	772
77	65	769
78	65	766
79	66	762
80	66	759
81	67	757
82	68	751
83	69	754
84	70	756
85	70	754
86	71	751
87	72	749
88	72	746
89	73	743
90	74	740
91	74	739
92	76	742
93	76	740
94	77	738
95	78	735
96	78	732
97	79	729
98	79	727
99	80	724
100	81	723
101	82	728
102	83	727
103	84	726
104	85	725
105	85	723
106	86	722
107	87	720
108	88	720
109	89	720
110	89	718
111	90	716
112	91	714
113	91	712
114	92	710
115	92	707
116	93	704
117	94	704
118	95	705
119	95	703
120	96	702
121	97	699
122	97	697
123	98	695
124	99	693
125	100	694
126	101	696
127	102	696
128	102	694
129	103	692
130	104	690
131	104	688
132	105	686
133	105	684
134	107	685
135	108	686
136	108	685
137	109	683
138	110	682
139	110	680
140	111	679
141	111	676
142	112	675
143	113	676
144	114	674
145	115	673
146	115	671
147	116	669
148	116	668
149	117	666
150	118	664
151	118	662
152	119	663
153	120	663
154	121	661
155	122	660
156	122	658
157	123	657
158	123	655
159	124	653
160	124	650
161	126	652
162	127	653
163	128	652
164	128	651
165	129	650
166	130	649
167	130	648
168	131	648
169	133	649
170	133	648
171	134	647
172	135	646
173	135	645
174	136	644
175	137	643
176	138	642
177	139	645
178	140	645
179	141	643
180	141	642
181	142	640
182	143	639
183	143	638
184	144	638
185	145	638
186	146	637
187	147	635
188	147	634
189	148	633
190	149	632
191	149	630
192	151	632
193	152	632
194	152	631
195	153	630
196	154	629
197	155	629
198	155	627
199	157	628
200	158	629
201	159	628
202	159	627
203	160	626
204	161	625
205	162	624
206	163	625
207	164	625
208	165	625
209	166	624
210	166	624
211	167	623
212	168	623
213	169	623
214	171	624
215	171	624
216	172	623
217	173	622
218	174	621
219	175	620
220	176	621
221	177	621
222	178	620
223	178	619
224	179	618
225	180	617
226	181	616
227	182	617
228	183	617
229	184	616
230	184	615
231	185	614
232	186	613
233	186	611
234	187	610
235	188	611
236	189	610
237	190	609
238	190	607
239	191	606
240	192	605
241	192	603
242	193	602
243	193	600
244	194	600
245	195	600
246	196	599
247	197	598
248	198	598
249	198	596
250	199	595
251	200	595
252	201	595
253	202	595
254	203	594
255	204	592
256	204	591
257	205	590
258	205	589
259	206	588
260	208	589
261	208	588
262	209	588
263	210	587
264	211	587
265	212	587
266	214	588
267	215	587
268	215	586
269	216	585
270	217	584
271	217	583
272	218	582
273	220	583
274	220	582
275	221	581
276	222	580
277	223	579
278	223	578
279	224	577
280	225	577
281	226	577
282	227	576
283	228	575
284	229	574
285	229	573
286	230	572
287	231	572
288	232	573
289	233	572
290	234	571
291	235	570
292	236	569
293	236	568
294	237	568
295	239	569
296	240	568
297	241	567
298	241	566
299	242	566
300	243	565
301	244	565
302	245	565
303	246	564
304	247	563
305	248	563
306	249	562
307	249	561
308	251	562
309	252	561
310	253	560
311	253	559
312	254	558
313	255	557
314	256	556
315	257	556
316	258	556
317	259	555
318	259	554
319	260	553
320	261	552
321	261	551
322	262	550
323	263	550
324	264	550
325	265	549
326	266	548
327	267	547
328	267	546
329	268	545
330	269	545
331	270	545
332	271	544
333	272	543
334	273	542
335	273	541
336	274	540
337	275	539
338	277	540
339	278	539
340	279	539
341	279	538
342	280	537
343	281	537
344	283	537
345	284	536
346	284	535
347	285	535
348	286	534
349	286	532
350	287	532
351	289	532
352	289	531
353	290	530
354	291	528
355	291	527
356	292	527
357	293	526
358	294	525
359	295	524
360	296	524
361	296	523
362	297	521
363	298	520
364	298	519
365	299	518
366	300	518
367	301	518
368	302	517
369	303	516
370	304	515
371	305	514
372	305	513
373	307	513
374	308	514
375	309	513
376	309	512
377	310	511
378	311	510
379	312	509
380	313	509
381	314	509
382	315	508
383	316	507
384	316	506
385	317	505
386	318	503
387	319	503
388	320	502
389	321	502
390	321	501
391	322	500
392	323	499
393	324	498
394	324	497
395	325	496
396	326	496
397	327	495
398	328	494
399	328	493
400	329	492
401	330	491
402	330	490
403	331	489
404	333	489
405	333	488
406	334	487
407	335	486
408	336	485
409	336	484
410	337	483
411	338	483
412	339	482
413	340	481
414	341	480
415	341	479
416	342	478
417	343	477
418	343	476
419	345	476
420	346	475
421	346	475
422	347	474
423	348	473
424	349	472
425	349	471
426	350	470
427	351	469
428	352	469
429	353	468
430	353	467
431	354	466
432	355	465
433	355	464
434	356	463
435	357	462
436	358	462
437	359	461
438	360	460
439	360	459
440	361	458
441	362	457
442	363	457
443	364	456
444	365	456
445	366	455
446	367	454
447	368	453
448	369	453
449	370	453
450	371	452
451	372	451
452	373	450
453	373	449
454	374	448
455	375	448
456	377	447
457	377	447
458	378	446
459	379	445
460	380	444
461	380	443
462	381	442
463	382	442
464	383	441
465	384	440
466	385	439
467	385	438
468	386	437
469	387	436
470	387	435
471	388	434
472	389	434
473	390	433
474	391	432
475	391	431
476	392	430
477	392	429
478	393	428
479	394	427
480	395	426
481	396	425
482	396	424
483	397	423
484	398	422
485	398	421
486	399	420
487	399	419
488	400	418
489	402	418
490	402	417
491	403	416
492	404	416
493	405	415
494	406	414
495	407	414
496	408	413
497	409	412
498	410	411
499	410	410
500	411	409
501	412	408
502	412	408
503	414	407
504	415	407
505	416	406
506	416	405
507	417	404
508	418	403
509	419	403
510	420	402
511	421	401
512	422	401
513	423	400
514	423	399
515	424	398
516	425	397
517	426	396
518	427	396
519	428	395
520	429	394
521	429	393
522	430	392
523	431	391
524	432	391
525	433	390
526	434	390
527	435	389
528	436	388
529	437	387
530	437	386
531	439	386
532	440	385
533	441	384
534	441	384
535	442	383
536	443	382
537	443	381
538	444	380
539	446	380
540	447	379
541	448	378
542	448	377
543	449	376
544	450	376
545	451	375
546	452	375
547	453	374
548	454	373
549	455	372
550	456	371
551	457	371
552	458	370
553	459	369
554	460	368
555	461	368
556	461	367
557	462	366
558	463	365
559	464	365
560	465	364
561	466	363
562	467	362
563	467	361
564	468	360
565	469	359
566	470	359
567	471	358
568	472	358
569	473	357
570	474	356
571	475	355
572	477	355
573	478	354
574	479	354
575	479	353
576	480	352
577	481	351
578	482	351
579	483	350
580	484	349
581	485	348
582	486	348
583	487	347
584	488	346
585	489	346
586	490	345
587	491	344
588	492	343
589	493	342
590	493	341
591	494	341
592	496	340
593	497	339
594	497	338
595	498	337
596	499	337
597	500	336
598	500	335
599	502	334
600	503	334
601	504	333
602	505	332
603	505	331
